,stackedhuman,stackedfrom total,cathuman,midhuman,cat,width,zero,width_cat,catfrom total,midfrom total,human,from total
0,3.9400000000000004,7.990000000000001,General:0.333333333333,3.9400000000000004,General,0.8,8.100000000000001,0.2,General:0.666666666667,0.11000000000000032,7.880000000000001,0.22000000000000064
1,0.11,4.160000000000001,Mailing list:0.333333333333,0.11,Mailing list,0.8,8.100000000000001,0.2,Mailing list:0.666666666667,3.940000000000001,0.22,7.880000000000002
